DATA,BUY,SOLD
20161109,31.08,31.622
20161108,31.145,31.687
20161107,31.165,31.707
20161104,31.11,31.652
20161103,31.115,31.657
20161102,31.2,31.742
20161101,31.205,31.747
20161031,31.21,31.752
20161028,31.265,31.807
20161027,31.275,31.817
20161026,31.205,31.747
20161025,31.25,31.792
20161024,31.325,31.867
20161021,31.265,31.807
20161020,31.175,31.717
20161019,31.165,31.707
20161018,31.3,31.842
20161017,31.415,31.957
20161014,31.31,31.852
20161013,31.39,31.932
20161012,31.27,31.812
20161011,31.255,31.797
20161007,31.12,31.662
20161006,31.05,31.592
20161005,31.005,31.547
20161004,30.99,31.532
20161003,30.97,31.512
20160930,31.01,31.552
20160929,31.005,31.547
20160927,31.07,31.612
20160926,31.07,31.612
20160923,30.97,31.512
20160922,31.05,31.592
20160921,31.075,31.617
20160920,31.015,31.557
20160919,31.08,31.622
20160914,31.325,31.867
20160913,31.345,31.887
20160912,31.35,31.892
20160910,31.2,31.742
20160909,31.15,31.692
20160908,30.935,31.477
20160907,30.88,31.422
20160906,31.065,31.607
20160905,31.14,31.682
20160902,31.345,31.887
20160901,31.38,31.922
20160831,31.375,31.917
20160830,31.36,31.902
20160829,31.435,31.977
20160826,31.315,31.857
20160825,31.31,31.852
20160824,31.4,31.942
20160823,31.35,31.892
20160822,31.445,31.987
20160819,31.26,31.802
20160818,31.05,31.592
20160817,31.06,31.602
20160816,30.925,31.467
20160815,30.985,31.527
20160812,31.045,31.587
20160811,30.96,31.502
20160810,30.835,31.377
20160809,31.09,31.632
20160808,31.16,31.702
20160805,31.195,31.737
20160804,31.345,31.887
20160803,31.39,31.932
20160802,31.33,31.872
20160801,31.275,31.817
20160729,31.57,32.112
20160728,31.6,32.142
20160727,31.71,32.252
20160726,31.75,32.292
20160725,31.785,32.327
20160722,31.71,32.252
20160721,31.7,32.242
20160720,31.69,32.232
20160719,31.64,32.182
20160718,31.65,32.192
20160715,31.6,32.142
20160714,31.72,32.262
20160713,31.835,32.377
20160712,31.86,32.402
20160711,31.855,32.397
20160707,31.945,32.487
20160706,32.03,32.572
20160705,31.915,32.457
20160704,31.85,32.392
20160701,31.86,32.402
20160630,31.925,32.467
20160629,31.985,32.527
20160628,32.06,32.602
20160627,32.16,32.702
20160624,32.07,32.612
20160623,31.83,32.372
20160622,31.87,32.412
20160621,31.905,32.447
20160620,31.905,32.447
20160617,32.02,32.562
20160616,32.03,32.572
20160615,32.08,32.622
20160614,32.06,32.602
20160613,32.06,32.602
20160608,31.87,32.412
20160607,31.975,32.517
20160606,32.04,32.582
20160604,32.13,32.672
20160603,32.25,32.792
20160602,32.24,32.782
20160601,32.26,32.802
20160531,32.265,32.807
20160530,32.275,32.817
20160527,32.17,32.712
20160526,32.22,32.762
20160525,32.29,32.832
20160524,32.34,32.882
20160523,32.305,32.847
20160520,32.39,32.932
20160519,32.42,32.962
20160518,32.335,32.877
20160517,32.255,32.797
20160516,32.34,32.882
20160513,32.26,32.802
20160512,32.185,32.727
20160511,32.17,32.712
20160510,32.18,32.722
